route_id,stop_id,sequence_no,stop_name
R-GAP-02,S0010,1,Thankot
R-GAP-02,S0270,2,Tribhuwan Park
R-GAP-02,S0119,3,Thankot Checkpost
R-GAP-02,S0386,4,Chandragiri Danda Road Junction
R-GAP-02,S0387,5,Dahachok Chowk
R-GAP-02,S0388,6,Dahachok
R-GAP-03,S0130,1,Kalanki
R-GAP-03,S0275,2,Dui Adda (Dhunga Adda)
R-GAP-03,S0427,3,Dui Adda - Balambu Chowk Link 1
R-GAP-03,S0428,4,Dui Adda - Balambu Chowk Link 2
R-GAP-03,S0429,5,Dui Adda - Balambu Chowk Link 3
R-GAP-03,S0389,6,Balambu Chowk
R-GAP-03,S0390,7,Balambu
R-GAP-04,S0130,1,Kalanki
R-GAP-04,S0221,2,Naya Bazar
R-GAP-04,S0358,3,Kirtipur Mod
R-GAP-04,S0084,4,Panga Dobato
R-GAP-04,S0391,5,Machhegaun Chowk
R-GAP-04,S0392,6,Machhegaun
R-GAP-05,S0013,1,Ratna Park
R-GAP-05,S0198,2,Purano Bus Park
R-GAP-05,S0086,3,Tourism Board Stop
R-GAP-05,S0067,4,Shahid Gate
R-GAP-05,S0076,5,Sundhara Stop
R-GAP-05,S0056,6,Tripureshwor
R-GAP-05,S0276,7,Tek (Teku)
R-GAP-05,S0023,8,Kalimati
R-GAP-05,S0230,9,Balkhu
R-GAP-05,S0233,10,Balkhu Stop
R-GAP-05,S0225,11,Kumari Club
R-GAP-05,S0043,12,TU Gate
R-GAP-05,S0049,13,Naya Bato
R-GAP-05,S0073,14,Chobhar Gate
R-GAP-05,S0173,15,Dakshinkali
R-GAP-05,S0393,16,Pharping Chowk
R-GAP-05,S0394,17,Pharping Danda
R-GAP-05,S0395,18,Pharping
R-GAP-06,S0113,1,Balaju
R-GAP-06,S0212,2,Banasthali
R-GAP-06,S0228,3,Dhungedhara
R-GAP-06,S0162,4,Thulo Bharang Stop
R-GAP-06,S0396,5,Ramkot Road Junction
R-GAP-06,S0397,6,Nagarjun Gate (Fulbari)
R-GAP-06,S0398,7,Nagarjun
R-GAP-07,S0130,1,Kalanki
R-GAP-07,S0246,2,Bafal
R-GAP-07,S0090,3,Sitapaila Stop
R-GAP-07,S0211,4,Swayambhu Parikarma
R-GAP-07,S0353,5,Sano Bharyang
R-GAP-07,S0399,6,Ichangu Road
R-GAP-07,S0400,7,Ichangu Narayan
R-GAP-08,S0113,1,Balaju
R-GAP-08,S0212,2,Banasthali
R-GAP-08,S0228,3,Dhungedhara
R-GAP-08,S0162,4,Thulo Bharang Stop
R-GAP-08,S0401,5,Manamaiju Chowk
R-GAP-08,S0402,6,Manamaiju
R-GAP-09,S0130,1,Kalanki
R-GAP-09,S0246,2,Bafal
R-GAP-09,S0090,3,Sitapaila Stop
R-GAP-09,S0211,4,Swayambhu Parikarma
R-GAP-09,S0353,5,Sano Bharyang
R-GAP-09,S0403,6,Halchowk
R-GAP-10,S0130,1,Kalanki
R-GAP-10,S0263,2,Ravi Bhavan
R-GAP-10,S0271,3,Soalteemode West
R-GAP-10,S0023,4,Kalimati
R-GAP-10,S0404,5,Dallu Awas
R-GAP-10,S0405,6,Dallu
R-GAP-12,S0113,1,Balaju
R-GAP-12,S0174,2,Naya Bus Park
R-GAP-12,S0169,3,Gongabu Chowk
R-GAP-12,S0231,4,Golfutar stop
R-GAP-12,S0408,5,Baniyatar Road
R-GAP-12,S0409,6,Tarkeshwor Chowk
R-GAP-12,S0410,7,Tarkeshwor
R-GAP-13,S0044,1,Narayan Gopal Chowk
R-GAP-13,S0238,2,Gangalal Hospital (Shahid Gangalal National Heart Centre)
R-GAP-13,S0260,3,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS)
R-GAP-13,S0231,4,Golfutar stop
R-GAP-13,S0268,5,Nepal Telecom (Budhanilkantha)
R-GAP-13,S0411,6,Tokha Bazar
R-GAP-13,S0412,7,Tokha
R-GAP-14,S0065,1,Basundhara
R-GAP-14,S0187,2,Samakhusi Stop
R-GAP-14,S0413,3,Narayanthan Chowk
R-GAP-14,S0414,4,Narayanthan
R-GAP-15,S0337,1,Maharajgunj Chowk
R-GAP-15,S0124,2,Teaching Hospital stop
R-GAP-15,S0444,3,Teaching Hospital stop - Chappal Karkhana Link
R-GAP-15,S0354,4,Chappal Karkhana
R-GAP-15,S0415,5,Ranibari Forest Gate
R-GAP-15,S0416,6,Ranibari
R-GAP-16,S0135,1,Jorpati
R-GAP-16,S0436,2,Jorpati - Attarkhel Link
R-GAP-16,S0125,3,Attarkhel
R-GAP-16,S0417,4,Mulpani Chowk
R-GAP-16,S0418,5,Mulpani
R-GAP-17,S0135,1,Jorpati
R-GAP-17,S0436,2,Jorpati - Attarkhel Link
R-GAP-17,S0125,3,Attarkhel
R-GAP-17,S0344,4,Narayantar
R-GAP-17,S0419,5,Chunikhel Chowk
R-GAP-17,S0420,6,Chunikhel
R-NY-03,S0372,1,Pepsicola
R-NY-03,S0159,2,Jadibuti
R-NY-03,S0304,4,New Baneshwor
R-NY-03,S0185,5,Thapathali
R-NY-03,S0056,6,Tripureshwor
R-NY-03,S0276,7,Teku
R-NY-03,S0023,8,Kalimati
R-NY-03,S0304,9,New Baneshwor
R-NY-03,S0304,10,New Baneshwor
R-NY-03,S0214,11,Ekantakuna
R-NY-03,S0103,11,Jawalakhel
R-NY-03,S0234,12,Pulchowk
R-NY-03,S0063,14,Kupondole
R-NY-03,S0185,15,Thapathali
R-NY-03,S0304,16,New Baneshwor
R-NY-03,S0304,17,New Baneshwor
R-NY-03,S0107,18,Koteshwor
R-NY-03,S0107,19,Koteshwor
R-NY-03,S0159,19,Jadibuti
R-NY-03,S0372,21,Pepsicola
R-NY-04,S0373,1,Babachowk
R-NY-04,S0374,2,Gothatar Height/Tarigaon
R-NY-04,S0375,3,Gothatar Chowk
R-NY-04,S0376,4,Gothatar School
R-NY-04,S0377,5,Khahare
R-NY-04,S0378,6,Khahare Chowk
R-NY-04,S0159,7,Jadibuti
R-NY-04,S0107,8,Koteshwor
R-NY-04,S0196,9,Anamnagar/Hanumansthan
R-NY-04,S0029,10,Minbhawan
R-NY-04,S0033,10,Bijulibazar
R-NY-04,S0127,11,Shantinagar
R-NY-04,S0066,11,Padmodaya/Pradarshani Marg
R-NY-04,S0196,12,Anamnagar/Hanumansthan
R-NY-04,S0031,12,Bagbazar
R-NY-04,S0005,13,Putalisadak
R-NY-04,S0196,14,Anamnagar/Hanumansthan
R-NY-04,S0196,15,Anamnagar/Hanumansthan
R-NY-04,S0196,16,Anamnagar/Hanumansthan
R-NY-04,S0196,17,Anamnagar/Hanumansthan
R-NY-05,S0383,1,Harharmahadev
R-NY-05,S0384,2,Kandaghari
R-NY-05,S0159,3,Jadibuti
R-NY-05,S0107,4,Koteshwor
R-NY-05,S0230,5,Balkhu
R-NY-05,S0230,6,Balkhu
R-NY-05,S0056,6,Tripureshwor
R-NY-05,S0185,7,Thapathali
R-NY-05,S0276,7,Teku
R-NY-05,S0023,8,Kalimati
R-NY-05,S0230,11,Balkhu
R-NY-06,S0134,1,Gopi Krishna
R-NY-06,S0030,2,Chakrapath
R-NY-06,S0337,3,Maharajgunj
R-NY-06,S0068,4,Baluwatar
R-NY-06,S0123,5,Naxal
R-NY-06,S0005,6,Putalisadak
R-NY-06,S0196,7,Anamnagar
R-NY-06,S0209,8,Singha Durbar East
R-NY-06,S0379,9,Hanumansthan
R-NY-06,S0108,10,Thapagaun
R-NY-06,S0220,11,Balkumari
R-NY-06,S0107,11,Koteshwor
R-NY-06,S0220,13,Balkumari
R-NY-07,S0134,1,Gopi Krishna
R-NY-07,S0217,2,Sukedhara
R-NY-07,S0030,3,Chakrapath South
R-NY-07,S0102,4,New Plaza
R-NY-07,S0382,5,Baidya Khana
R-NY-07,S0196,6,Anamnagar
R-NY-07,S0209,7,Singha Durbar East Gate
R-NY-07,S0379,8,Hanumansthan
R-NY-07,S0108,9,Thapagaun
R-NY-07,S0017,10,Tinkune
R-NY-07,S0107,10,Koteshwor
R-NY-07,S0017,11,Tinkune
R-SAJHA-01,S0112,1,Lagankhel Stop
R-SAJHA-01,S0213,2,Kumaripati
R-SAJHA-01,S0175,3,Jawalakhel
R-SAJHA-01,S0234,4,Pulchowk
R-SAJHA-01,S0237,5,Harihar Bhawan
R-SAJHA-01,S0235,6,Kupandol
R-SAJHA-01,S0056,7,Tripureshwor
R-SAJHA-01,S0236,8,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-01,S0152,9,Jamal
R-SAJHA-01,S0087,10,Lainchaur stop
R-SAJHA-01,S0149,11,Lazimpat stop
R-SAJHA-01,S0437,12,Lazimpat stop - Panipokhari stop Link
R-SAJHA-01,S0082,13,Panipokhari stop
R-SAJHA-01,S0435,14,Panipokhari stop - President's Residence Link
R-SAJHA-01,S0241,15,"President's Residence (Sheetal Niwas, Maharajgunj)"
R-SAJHA-01,S0124,16,Teaching Hospital stop
R-SAJHA-01,S0044,17,Narayan Gopal Chowk
R-SAJHA-01,S0065,18,Basundhara
R-SAJHA-01,S0187,19,Samakhusi Stop
R-SAJHA-01,S0169,20,Gongabu Chowk
R-SAJHA-01,S0252,21,Gongabu Bus Park
R-SAJHA-02,S0112,1,Lagankhel Stop
R-SAJHA-02,S0213,2,Kumaripati
R-SAJHA-02,S0175,3,Jawalakhel
R-SAJHA-02,S0234,4,Pulchowk
R-SAJHA-02,S0237,5,Harihar Bhawan
R-SAJHA-02,S0235,6,Kupandol
R-SAJHA-02,S0056,7,Tripureshwor
R-SAJHA-02,S0236,8,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-02,S0152,9,Jamal
R-SAJHA-02,S0087,10,Lainchaur stop
R-SAJHA-02,S0149,11,Lazimpat stop
R-SAJHA-02,S0437,12,Lazimpat stop - Panipokhari stop Link
R-SAJHA-02,S0082,13,Panipokhari stop
R-SAJHA-02,S0435,14,Panipokhari stop - President's Residence Link
R-SAJHA-02,S0241,15,"President's Residence (Sheetal Niwas, Maharajgunj)"
R-SAJHA-02,S0124,16,Teaching Hospital stop
R-SAJHA-02,S0044,17,Narayan Gopal Chowk
R-SAJHA-02,S0238,18,Gangalal Hospital (Shahid Gangalal National Heart Centre)
R-SAJHA-02,S0260,19,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS)
R-SAJHA-02,S0231,20,Golfutar stop
R-SAJHA-02,S0268,21,Nepal Telecom (Budhanilkantha)
R-SAJHA-02,S0255,22,Hattigauda
R-SAJHA-02,S0441,23,Hattigauda - Chapali Bhadrakali Link
R-SAJHA-02,S0249,24,Chapali Bhadrakali
R-SAJHA-02,S0038,25,Deuba Chowk stop
R-SAJHA-02,S0096,26,Budhanilkantha Micro Stand
R-SAJHA-03,S0239,1,Godawari
R-SAJHA-03,S0267,2,Taukhel
R-SAJHA-03,S0272,3,Handegaun
R-SAJHA-03,S0245,4,Badegaun
R-SAJHA-03,S0253,5,Harisiddhi
R-SAJHA-03,S0254,6,Hattiban
R-SAJHA-03,S0138,7,Khumaltar Stop
R-SAJHA-03,S0011,8,Satdobato Chowk Stop
R-SAJHA-03,S0112,9,Lagankhel Stop
R-SAJHA-03,S0213,10,Kumaripati
R-SAJHA-03,S0175,11,Jawalakhel
R-SAJHA-03,S0234,12,Pulchowk
R-SAJHA-03,S0237,13,Harihar Bhawan
R-SAJHA-03,S0235,14,Kupandol
R-SAJHA-03,S0056,15,Tripureshwor
R-SAJHA-03,S0236,16,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-03,S0013,17,Ratna Park
R-SAJHA-04,S0200,1,Lamatar
R-SAJHA-04,S0442,2,Lamatar - Dungin Link
R-SAJHA-04,S0273,3,Dungin
R-SAJHA-04,S0104,4,Lubhu Bus Stop
R-SAJHA-04,S0264,5,Sana Gaun Bus Stop
R-SAJHA-04,S0274,6,"Kamalpokhari (Lamatar-area, distinct from central Kathmandu Kamalpokhari)"
R-SAJHA-04,S0256,7,Imadol Krishna Mandir Road
R-SAJHA-04,S0262,8,Rata Makai Chowk
R-SAJHA-04,S0257,9,KIST Medical College Teaching Hospital
R-SAJHA-04,S0020,10,Gwarko Chowk Stop
R-SAJHA-04,S0011,11,Satdobato Chowk Stop
R-SAJHA-04,S0112,12,Lagankhel Stop
R-SAJHA-04,S0175,13,Jawalakhel
R-SAJHA-04,S0234,14,Pulchowk
R-SAJHA-04,S0237,15,Harihar Bhawan
R-SAJHA-04,S0235,16,Kupandol
R-SAJHA-04,S0056,17,Tripureshwor
R-SAJHA-04,S0236,18,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-04,S0152,19,Jamal
R-SAJHA-04,S0149,20,Lazimpat stop
R-SAJHA-04,S0087,21,Lainchaur stop
R-SAJHA-04,S0013,22,Ratna Park
R-SAJHA-05,S0010,1,Thankot
R-SAJHA-05,S0270,3,Tribhuwan Park
R-SAJHA-05,S0119,4,Thankot Checkpost
R-SAJHA-05,S0266,5,Satungal
R-SAJHA-05,S0192,5,Naya Naikap
R-SAJHA-05,S0275,7,Dui Adda (Dhunga Adda)
R-SAJHA-05,S0130,8,Kalanki
R-SAJHA-05,S0263,9,Ravi Bhavan
R-SAJHA-05,S0271,9,Soalteemode West
R-SAJHA-05,S0023,11,Kalimati
R-SAJHA-05,S0276,12,Tek (Teku)
R-SAJHA-05,S0277,12,Vipreshwar (Tripureshwor)
R-SAJHA-05,S0278,13,"N.A.Bh (Nepal Army Headquarters, Bhadrakali)"
R-SAJHA-05,S0013,14,Ratna Park
R-SAJHA-05,S0036,15,Singha Durbar West Stop
R-SAJHA-05,S0097,16,Maitighar
R-SAJHA-05,S0033,17,Bijulibazar Stop
R-SAJHA-05,S0259,18,New Baneshwor East
R-SAJHA-05,S0017,19,Tinkune Stop
R-SAJHA-05,S0139,20,Sinamangal/Ring Road Stop सिनामंगल
R-SAJHA-05,S0240,21,Tribhuvan International Airport
R-SAJHA-06,S0010,1,Thankot
R-SAJHA-06,S0270,3,Tribhuwan Park
R-SAJHA-06,S0119,4,Thankot Checkpost
R-SAJHA-06,S0266,5,Satungal
R-SAJHA-06,S0192,5,Naya Naikap
R-SAJHA-06,S0130,6,Kalanki
R-SAJHA-06,S0246,8,Bafal
R-SAJHA-06,S0090,9,Sitapaila Stop
R-SAJHA-06,S0211,10,Swayambhu Parikarma
R-SAJHA-06,S0212,11,Banasthali
R-SAJHA-06,S0113,12,Balaju
R-SAJHA-06,S0187,13,Samakhusi Stop
R-SAJHA-06,S0065,14,Basundhara
R-SAJHA-06,S0044,15,Narayan Gopal Chowk
R-SAJHA-06,S0238,16,Gangalal Hospital (Shahid Gangalal National Heart Centre)
R-SAJHA-06,S0260,17,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS)
R-SAJHA-06,S0231,18,Golfutar stop
R-SAJHA-06,S0255,19,Hattigauda
R-SAJHA-06,S0038,20,Deuba Chowk stop
R-SAJHA-06,S0096,21,Budhanilkantha Micro Stand
R-SAJHA-07,S0243,1,Lele
