route_id,stop_id,sequence_no,stop_name
R2282031,S0198,1,Purano Bus Park
R2282031,S0086,2,Tourism Board Stop
R2282031,S0067,3,Shahid Gate
R2282031,S0076,4,Sundhara Stop
R2282031,S0056,5,Tripureshwor
R2282031,S0023,6,Kalimati
R2282031,S0230,7,Balkhu
R2282031,S0233,8,Balkhu Stop
R2282031,S0225,9,Kumari Club
R2282031,S0043,10,TU Gate
R2282031,S0049,11,Naya Bato
R2282031,S0047,12,Tinkune (Kirtipur side)
R2282031,S0221,13,Naya Bazar
R2282031,S0084,14,Panga Dobato
R2282031,S0085,15,Nagaon Dobato
R2282031,S0041,16,BishnuDevi Health Centre
R3020212,S0073,1,Chobhar Gate
R3020212,S0009,2,Dhokashi
R3020212,S0049,3,Naya Bato
R3020212,S0043,4,TU Gate
R3020212,S0225,5,Kumari Club
R3020212,S0230,6,Balkhu
R3020212,S0233,7,Balkhu Stop
R3020212,S0023,8,Kalimati
R3020212,S0056,9,Tripureshwor
R3020212,S0067,10,Shahid Gate
R3020212,S0076,11,Sundhara Stop
R3020212,S0086,12,Tourism Board Stop
R3020212,S0198,13,Purano Bus Park
R3020213,S0198,1,Purano Bus Park
R3020213,S0086,2,Tourism Board Stop
R3020213,S0067,3,Shahid Gate
R3020213,S0076,4,Sundhara Stop
R3020213,S0056,5,Tripureshwor
R3020213,S0023,6,Kalimati
R3020213,S0230,7,Balkhu
R3020213,S0233,8,Balkhu Stop
R3020213,S0225,9,Kumari Club
R3020213,S0043,10,TU Gate
R3020213,S0049,11,Naya Bato
R3020213,S0047,12,Tinkune (Kirtipur side)
R3020213,S0221,13,Naya Bazar
R3020213,S0084,14,Panga Dobato
R3020213,S0009,15,Dhokashi
R3020231,S0198,1,Purano Bus Park
R3020231,S0086,2,Tourism Board Stop
R3020231,S0067,3,Shahid Gate
R3020231,S0076,4,Sundhara Stop
R3020231,S0056,5,Tripureshwor
R3020231,S0023,6,Kalimati
R3020231,S0230,7,Balkhu
R3020231,S0233,8,Balkhu Stop
R3020231,S0225,9,Kumari Club
R3020231,S0043,10,TU Gate
R3020231,S0049,11,Naya Bato
R3020231,S0047,12,Tinkune (Kirtipur side)
R3020231,S0221,13,Naya Bazar
R3020231,S0084,14,Panga Dobato
R3020231,S0085,15,Nagaon Dobato
R3020231,S0048,16,Bhatkepati
R3028077,S0113,1,Balaju
R3028077,S0177,2,Balaju Chowk Bus Stop
R3028077,S0079,3,Sorhakhutte
R3028077,S0003,4,Shobhabhagwati
R3028077,S0207,5,ASCOL Stop
R3028077,S0193,6,Lainchour Chowk Bus Stop
R3028077,S0152,7,Jamal
R3028077,S0166,8,Kantipath
R3028077,S0137,9,Ghantaghar (घण्टाघर) stop
R3028077,S0013,10,Ratna Park
R3102124,S0100,1,RNAC stop
R3102124,S0171,2,Bir Hospital
R3102124,S0166,3,Kantipath
R3102124,S0152,4,Jamal
R3102124,S0193,5,Lainchour Chowk Bus Stop
R3102124,S0087,6,Lainchaur stop
R3102124,S0188,7,Gairidhara
R3102124,S0051,8,Tangal
R3102124,S0197,9,Police Headquarter Stop
R3102124,S0105,10,Bhatbhatini Stop
R3102124,S0093,11,Bishalnagar Stop
R3102124,S0109,12,Chapal Karkhana stop
R3102124,S0118,13,Dhumbarahi
R3102124,S0072,14,Mandikhatar Stop
