route_id,route_name,stop_sequence,stop_id,stop_name,lat,lng
R2276770,Purano Bus Park-Thimi,1,S0198,Purano Bus Park,27.703654,85.316517
R2276770,Purano Bus Park-Thimi,2,S0086,Tourism Board Stop,27.702332,85.3168
R2276770,Purano Bus Park-Thimi,3,S0088,Bhadrakali,27.699352,85.317713
R2276770,Purano Bus Park-Thimi,4,S0036,Singha Durbar West Stop,27.69659,85.321228
R2276770,Purano Bus Park-Thimi,5,S0097,Maitighar,27.693965,85.320962
R2276770,Purano Bus Park-Thimi,6,S0028,Babarmahal,27.692579,85.323905
R2276770,Purano Bus Park-Thimi,7,S0099,Babarmahal Stop West,27.692337,85.3244
R2276770,Purano Bus Park-Thimi,8,S0034,Buddhanagar Stop,27.68933,85.331039
R2276770,Purano Bus Park-Thimi,9,S0062,Babarmahal Stop East,27.69032,85.328762
R2276770,Purano Bus Park-Thimi,10,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2276770,Purano Bus Park-Thimi,11,S0029,Minbhawan,27.6877,85.338462
R2276770,Purano Bus Park-Thimi,12,S0127,Shantinagar Stop,27.687086,85.341372
R2276770,Purano Bus Park-Thimi,13,S0017,Tinkune Stop,27.6835,85.3486
R2276770,Purano Bus Park-Thimi,14,S0203,Tinkune Subidhanagar,27.686056,85.345662
R2276770,Purano Bus Park-Thimi,15,S0107,Koteshwor Stop,27.6802001,85.3494489
R2276770,Purano Bus Park-Thimi,16,S0159,Jadibuti,27.675459,85.3516
R2276770,Purano Bus Park-Thimi,17,S0022,Lokanthali North,27.674829,85.359862
R2276770,Purano Bus Park-Thimi,18,S0004,Kaushaltar,27.674541,85.364349
R2276770,Purano Bus Park-Thimi,19,S0092,Gathaghar,27.674014,85.373177
R2276770,Purano Bus Park-Thimi,20,S0007,Chardobato,27.673553,85.381717
R2276770,Purano Bus Park-Thimi,21,S0110,Thimi Stop,27.673336,85.386293
R2276999,Shobhabhagwati-Koteshwore,1,S0003,Shobhabhagwati,27.718204,85.312138
R2276999,Shobhabhagwati-Koteshwore,2,S0207,ASCOL Stop,27.71738,85.314811
R2276999,Shobhabhagwati-Koteshwore,3,S0193,Lainchour Chowk Bus Stop,27.717048,85.316046
R2276999,Shobhabhagwati-Koteshwore,4,S0152,Jamal,27.708829,85.315292
R2276999,Shobhabhagwati-Koteshwore,5,S0166,Kantipath,27.708912,85.314607
R2276999,Shobhabhagwati-Koteshwore,6,S0137,Ghantaghar (घण्टाघर) stop,27.708043,85.317116
R2276999,Shobhabhagwati-Koteshwore,7,S0042,Kamaladi Road (कमलादी) stop,27.707997,85.321282
R2276999,Shobhabhagwati-Koteshwore,8,S0094,Krishna Pauroti Stop,27.710369,85.322281
R2276999,Shobhabhagwati-Koteshwore,9,S0210,Ciy Center Stop,27.709819,85.326984
R2276999,Shobhabhagwati-Koteshwore,10,S0083,Gyaneshwor Chowk,27.708687,85.331826
R2276999,Shobhabhagwati-Koteshwore,11,S0126,Maitidevi Temple stop,27.706412,85.333733
R2276999,Shobhabhagwati-Koteshwore,12,S0035,Maiti Devi chowk,27.703944,85.332682
R2276999,Shobhabhagwati-Koteshwore,13,S0222,Old Baneshwor,27.70152,85.340204
R2276999,Shobhabhagwati-Koteshwore,14,S0016,Bhimsengola stop,27.700377,85.343256
R2276999,Shobhabhagwati-Koteshwore,15,S0148,Sinamangal,27.698432,85.348521
R2276999,Shobhabhagwati-Koteshwore,16,S0027,KMC stop,27.695834,85.352791
R2276999,Shobhabhagwati-Koteshwore,17,S0139,Sinamangal/Ring Road Stop सिनामंगल,27.6983,85.3533
R2276999,Shobhabhagwati-Koteshwore,18,S0053,Gairigaun Stop,27.687275,85.35056
R2276999,Shobhabhagwati-Koteshwore,19,S0107,Koteshwor Stop,27.6802001,85.3494489
R2277212,Koteshwor - Ratna Park,1,S0198,Purano Bus Park,27.703654,85.316517
R2277212,Koteshwor - Ratna Park,2,S0137,Ghantaghar (घण्टाघर) stop,27.708043,85.317116
R2277212,Koteshwor - Ratna Park,3,S0094,Krishna Pauroti Stop,27.710369,85.322281
R2277212,Koteshwor - Ratna Park,4,S0042,Kamaladi Road (कमलादी) stop,27.707997,85.321282
R2277212,Koteshwor - Ratna Park,5,S0005,Putalisadak Stop,27.70569,85.322552
R2277212,Koteshwor - Ratna Park,6,S0055,Dillibazaar stop,27.70537,85.326759
R2277212,Koteshwor - Ratna Park,7,S0035,Maiti Devi chowk,27.703944,85.332682
R2277212,Koteshwor - Ratna Park,8,S0222,Old Baneshwor,27.70152,85.340204
R2277212,Koteshwor - Ratna Park,9,S0016,Bhimsengola stop,27.700377,85.343256
R2277212,Koteshwor - Ratna Park,10,S0148,Sinamangal,27.698432,85.348521
R2277212,Koteshwor - Ratna Park,11,S0027,KMC stop,27.695834,85.352791
R2277212,Koteshwor - Ratna Park,12,S0139,Sinamangal/Ring Road Stop सिनामंगल,27.6983,85.3533
R2277212,Koteshwor - Ratna Park,13,S0053,Gairigaun Stop,27.687275,85.35056
R2277212,Koteshwor - Ratna Park,14,S0107,Koteshwor Stop,27.6802001,85.3494489
R2282031,Ratna Park - Kirtipur,1,S0198,Purano Bus Park,27.703654,85.316517
R2282031,Ratna Park - Kirtipur,2,S0086,Tourism Board Stop,27.702332,85.3168
R2282031,Ratna Park - Kirtipur,3,S0067,Shahid Gate,27.699685,85.314748
R2282031,Ratna Park - Kirtipur,4,S0076,Sundhara Stop,27.700542,85.313503
R2282031,Ratna Park - Kirtipur,5,S0056,Tripureshwor,27.694418,85.314128
R2282031,Ratna Park - Kirtipur,6,S0023,Kalimati,27.69843,85.29944
R2282031,Ratna Park - Kirtipur,7,S0230,Balkhu,27.6823,85.2985
R2282031,Ratna Park - Kirtipur,8,S0233,Balkhu Stop,27.684798,85.298592
R2282031,Ratna Park - Kirtipur,9,S0225,Kumari Club,27.682663,85.298599
R2282031,Ratna Park - Kirtipur,10,S0043,TU Gate,27.67888,85.297212
R2282031,Ratna Park - Kirtipur,11,S0049,Naya Bato,27.676114,85.293897
R2282031,Ratna Park - Kirtipur,12,S0047,Tinkune (Kirtipur side),27.676654,85.283543
